T_TL_TIMELINE_DATA_UID,T_TL_TIMELINE_DATA_UID,process01,waiting1-2,processing02,waiting2-3,process03,waiting3-4,processing4,waiting4-5,processing5,waiting5-6,processing6,waiting6-7,processing7,waiting7-8,processing8,waiting8-9,processing9,
165151,165151,33,15,47,28,8,2,7,21,13,10,25,16,29,7,25,91,36,413
165152,165152,33,39,80,7,8,2,6,19,11,22,24,6,29,27,24,64,65,466
165154,165154,32,9,50,7,8,3,6,17,11,16,24,28,40,6,24,153,39,473
165155,165155,33,19,65,7,7,3,13,27,10,10,24,6,32,91,24,78,51,500
165156,165156,32,15,44,17,9,3,7,18,9,15,25,57,27,65,25,242,38,648
165157,165157,33,31,47,6,7,3,5,28,9,21,24,46,40,227,25,51,38,641
165159,165159,33,16,55,6,7,4,8,24,9,16,24,233,31,27,25,61,43,622
165164,165164,32,1,42,88,8,2,4,16,10,16,24,13,31,5,25,66,42,425
165165,165165,33,96,43,7,9,2,7,17,10,16,24,9,29,7,25,72,33,439
165167,165167,32,14,44,6,7,3,6,16,10,18,25,10,41,8,25,66,47,378
165169,165169,33,13,42,7,7,3,5,16,10,26,24,19,31,10,24,100,39,409
165171,165171,32,16,69,7,8,4,6,21,10,11,24,18,27,36,25,66,36,416
165173,165173,33,16,90,8,8,2,7,18,10,10,25,7,28,10,25,119,44,460
165176,165176,33,8,44,8,8,2,6,15,10,15,24,25,28,54,24,74,42,420
165177,165177,33,13,39,8,7,2,5,16,8,13,24,42,35,40,25,80,38,428
165178,165178,33,13,45,7,7,3,6,13,10,13,25,38,46,44,25,66,41,435
165179,165179,33,18,44,8,7,3,4,14,9,12,25,56,30,51,24,70,41,449
165180,165180,32,19,50,9,8,3,5,14,9,17,25,42,34,53,25,95,48,488
165181,165181,33,77,46,9,8,2,7,14,13,9,24,70,26,5,29,68,67,507
165184,165184,33,18,45,27,7,3,6,12,11,26,24,48,28,6,24,82,42,442
165186,165186,33,34,57,8,6,3,6,13,10,26,25,35,30,19,25,99,38,467
165187,165187,32,20,76,13,11,2,10,31,9,10,23,52,38,10,24,53,39,453
165189,165189,33,19,47,17,11,2,7,17,12,12,25,54,27,10,26,72,33,424
165190,165190,33,22,48,12,11,4,7,24,9,20,25,50,28,8,24,78,45,448
165191,165191,33,20,47,19,11,3,6,18,10,56,25,35,30,23,25,34,41,436
165193,165193,33,30,43,7,8,2,6,32,10,45,24,29,29,6,24,68,31,427
165194,165194,32,9,45,18,10,3,6,23,10,13,24,67,39,23,24,38,46,430
165195,165195,33,37,48,7,8,4,7,16,12,31,24,35,30,33,25,43,30,423
165196,165196,33,21,40,9,10,2,6,17,11,14,25,45,29,28,25,43,43,401
165198,165198,33,16,45,7,8,2,7,24,11,13,25,21,30,26,25,61,33,387
165199,165199,33,26,50,7,7,3,7,28,11,25,25,23,29,13,24,44,34,389
165200,165200,33,18,42,16,8,3,7,20,11,13,25,36,27,16,24,34,41,374
165201,165201,33,15,44,15,9,4,6,20,10,12,24,41,26,10,25,39,38,371
165202,165202,33,16,47,10,7,3,7,21,11,16,25,20,42,25,24,29,34,370
165203,165203,33,17,40,10,12,2,10,19,11,28,25,29,28,8,25,57,44,398
165205,165205,33,9,41,20,11,3,6,18,9,23,24,21,43,6,27,61,33,388
165206,165206,33,59,44,8,9,3,7,18,10,12,24,22,35,16,25,46,40,411
165208,165208,33,13,43,7,10,3,6,17,9,26,25,9,55,7,24,36,40,363
165210,165210,33,16,47,8,8,2,7,18,9,26,25,26,26,12,25,43,46,377
165211,165211,33,16,45,8,7,3,10,15,11,13,25,20,29,5,24,73,35,372
165213,165213,33,14,48,9,7,2,6,15,11,14,25,26,29,21,25,39,34,358
165215,165215,33,17,47,8,8,3,6,16,13,15,26,14,29,16,25,40,34,350
165217,165217,33,13,59,7,13,3,7,26,9,12,24,6,26,8,25,28,36,335
165219,165219,33,27,36,25,9,3,7,25,10,23,25,15,32,4,28,24,35,361
165220,165220,33,64,46,6,8,4,6,19,10,39,24,12,32,4,25,33,28,393
165223,165223,32,18,41,6,8,3,9,17,11,12,25,18,31,16,25,29,35,336
165224,165224,33,13,44,8,8,3,6,22,9,15,24,9,27,18,24,46,33,342
165226,165226,33,14,46,11,7,3,6,19,10,9,24,7,32,8,24,62,43,358
165228,165228,33,21,44,8,7,3,6,17,10,16,25,8,29,7,24,89,48,395
165230,165230,33,14,49,18,8,4,7,25,9,29,25,17,34,6,25,50,32,385
165232,165232,33,31,46,7,8,4,6,16,10,15,24,25,31,6,25,90,41,418
165234,165234,33,10,50,7,7,4,7,17,9,18,24,26,29,50,25,46,34,396
165236,165236,33,21,65,6,9,3,5,16,11,28,24,33,27,74,25,29,39,448
165237,165237,33,28,45,8,10,3,11,22,9,12,24,58,37,16,24,54,33,427
165240,165240,32,18,55,7,7,3,6,27,9,21,24,63,28,17,24,32,39,412
165242,165242,33,13,50,8,11,4,28,19,8,26,25,37,27,15,25,40,32,401
165243,165243,33,21,63,8,11,3,9,16,9,30,23,41,30,25,45,31,34,432
165245,165245,33,32,60,10,10,3,10,17,9,15,25,20,28,38,24,47,35,416
165247,165247,33,33,55,7,26,4,6,12,9,13,25,42,27,13,47,61,28,441
165249,165249,33,20,61,7,10,2,6,16,8,52,24,13,32,21,25,68,33,431
165252,165252,33,13,45,7,6,3,5,23,9,30,25,21,35,39,24,46,40,404
165253,165253,33,11,43,7,7,3,6,15,9,25,25,26,41,29,28,54,33,395
165255,165255,33,12,43,6,7,3,5,21,11,9,36,23,31,30,24,59,38,391
165257,165257,32,10,45,7,7,3,6,15,10,14,25,20,28,31,24,72,35,384
165259,165259,33,6,55,7,7,3,7,15,10,31,24,25,27,30,28,34,35,377
165258,165258,33,14,39,6,18,3,8,16,9,8,25,53,25,7,24,60,34,382
165260,165260,33,27,46,7,8,3,5,17,9,16,24,45,35,16,28,27,38,384
165262,165262,33,17,83,7,9,2,6,14,10,17,25,9,26,17,25,48,35,383
165265,165265,33,31,47,6,9,3,6,15,9,8,25,6,44,9,24,143,44,462
165267,165267,33,14,42,18,8,2,6,25,9,16,25,8,30,63,25,81,154,559
165268,165268,33,25,45,7,8,3,8,17,10,18,24,30,31,65,24,2260,58,2666
165270,165270,32,9,45,7,8,3,6,20,13,8,24,43,47,2338,25,101,36,2765
165271,165271,32,14,48,7,10,4,9,19,9,8,24,2347,36,72,25,79,43,2786
165272,165272,32,17,77,59,89,8,7,61,9,2107,25,70,36,52,24,69,32,2774
165274,165274,33,106,49,2091,16,4,8,91,11,89,24,42,30,53,25,56,37,2765
165276,165276,32,2145,53,38,11,20,13,38,9,49,25,46,32,42,24,100,57,2734
165277,165277,33,48,50,46,9,4,7,22,10,53,26,41,29,73,25,92,36,604
165278,165278,32,53,52,7,8,3,8,27,10,50,24,93,29,50,24,64,37,571
165279,165279,32,20,71,6,7,4,6,18,10,29,24,88,46,47,24,60,35,527
165280,165280,32,10,62,29,8,3,7,17,11,37,24,59,32,42,27,84,41,525
165281,165281,32,48,44,7,7,3,6,33,9,46,25,40,30,65,26,96,32,549
165282,165282,32,13,46,31,8,4,9,19,8,30,25,61,31,80,24,81,34,536
165283,165283,32,47,48,6,18,4,6,25,10,15,39,61,44,89,24,55,44,567
165284,165284,32,7,50,19,8,3,7,15,9,71,24,41,45,67,25,339,38,800
165285,165285,33,25,49,9,7,3,6,25,10,61,24,74,36,314,24,106,31,837
165286,165286,32,14,44,12,9,3,7,35,9,83,25,306,40,87,25,87,43,861
165287,165287,33,36,38,7,9,3,7,14,9,49,25,52,54,96,25,75,60,592
165289,165289,32,16,46,11,10,4,8,25,9,89,24,81,39,76,24,68,29,591
165288,165288,32,7,41,9,8,3,8,21,11,60,24,103,43,56,26,94,31,577
165291,165291,33,17,45,13,11,3,7,63,10,87,25,73,38,47,25,83,45,625
165293,165293,33,16,49,47,9,3,7,63,10,80,24,85,29,41,26,78,43,643
165295,165295,33,47,73,27,11,3,6,54,8,58,24,70,33,43,25,78,33,626
165298,165298,33,42,53,21,11,3,7,30,9,77,24,27,35,69,26,87,28,582
165300,165300,33,36,47,14,10,3,6,54,9,33,24,67,36,48,24,80,37,561
165302,165302,33,21,54,34,12,3,7,16,9,50,25,84,36,31,25,69,39,548
165305,165305,33,46,49,8,8,2,6,18,9,66,24,58,31,44,25,77,36,540
165307,165307,33,20,54,6,11,3,10,23,9,63,24,37,36,49,25,223,30,656
165309,165309,33,18,48,11,12,3,6,38,19,35,24,47,35,51,25,200,41,646
165311,165311,33,17,49,34,9,3,6,26,9,40,25,179,35,50,26,59,60,660
165313,165313,32,55,42,9,8,2,6,18,10,46,25,177,31,61,26,62,41,651
165317,165317,33,60,51,12,13,3,8,23,10,67,24,92,36,164,24,85,44,749
165320,165320,33,16,46,23,8,3,6,38,12,16,24,229,49,39,25,100,31,698
165322,165322,33,85,48,7,8,3,7,17,10,17,24,208,33,76,30,64,30,700
165324,165324,33,13,46,11,10,2,6,16,11,129,76,73,40,47,24,101,30,668
165326,165326,33,66,41,64,21,3,8,34,10,80,24,47,35,43,25,90,31,655
165329,165329,33,118,58,8,7,4,7,19,10,54,25,42,32,54,25,65,41,602
165332,165332,33,27,44,6,10,3,8,28,16,44,25,44,36,48,25,59,33,489
165334,165334,33,15,46,31,12,27,9,16,9,16,25,49,31,45,25,59,31,479
165336,165336,33,41,50,22,9,3,6,16,9,35,25,41,31,39,26,79,32,497
165338,165338,33,37,44,15,10,3,7,16,9,21,25,35,29,66,26,58,36,470
165340,165340,33,18,43,7,10,3,6,16,9,26,25,56,35,41,26,66,37,457
165341,165341,32,14,43,6,7,4,7,17,10,46,25,38,35,50,25,58,39,456
165343,165343,33,8,41,7,10,3,6,23,9,45,25,45,37,42,25,94,33,486
165344,165344,32,13,46,6,11,3,7,19,9,49,24,46,32,48,27,104,32,508
165345,165345,33,10,45,8,10,3,6,24,10,53,24,41,55,63,25,75,44,529
165347,165347,33,12,82,6,7,3,6,15,10,30,25,76,38,47,25,75,44,534
165349,165349,33,11,51,7,9,3,11,21,9,53,24,51,29,49,27,104,39,531
165351,165351,33,20,43,11,9,2,8,29,10,58,25,42,31,62,31,84,30,528
165353,165353,33,12,45,20,11,4,7,31,10,51,25,55,31,70,25,89,33,552
165354,165354,33,23,55,14,11,3,6,26,9,64,24,69,29,71,24,49,40,550
165355,165355,32,10,60,7,10,3,6,35,10,113,24,12,46,22,26,64,37,517
165357,165357,32,12,55,10,9,3,7,47,10,58,24,34,31,39,25,66,38,500
165359,165359,32,13,77,8,7,4,7,31,10,42,24,34,32,47,25,60,41,494
165361,165361,32,16,47,14,13,3,6,15,8,43,25,43,32,45,24,82,38,486
165362,165362,33,16,45,17,7,3,6,17,10,46,25,40,31,59,24,74,40,493
165364,165364,33,30,60,6,9,3,5,13,9,31,25,52,33,50,26,97,47,529
165366,165366,32,3,59,7,20,3,5,12,9,18,25,51,32,69,24,78,31,478
165367,165367,32,16,46,9,13,2,7,19,9,24,25,62,34,57,24,88,39,506
165369,165369,33,8,45,21,7,3,10,15,9,44,25,54,32,66,26,106,37,541
165371,165371,33,29,47,6,8,3,7,19,9,54,25,87,27,31,25,97,37,544
165372,165372,32,9,50,7,7,3,5,23,9,47,24,67,37,56,25,77,48,526
165374,165374,33,22,46,6,8,2,8,18,10,74,24,45,33,65,25,100,35,554
165376,165376,33,14,46,7,7,2,6,46,10,53,25,56,39,43,26,90,46,549
165378,165378,32,18,46,22,9,3,6,28,10,65,25,42,38,52,25,91,43,555
165379,165379,33,23,42,20,12,2,6,40,10,51,24,50,36,67,29,92,44,581
165381,165381,33,20,51,25,10,3,8,29,9,53,25,63,42,64,25,79,36,575
165383,165383,33,109,46,7,13,3,7,15,10,16,25,61,41,46,25,108,29,594
165386,165386,33,14,50,7,9,2,7,13,8,43,25,45,39,79,25,86,47,532
165387,165387,32,16,41,6,10,3,7,18,9,63,24,84,71,12,25,66,42,529
165388,165388,32,11,69,6,8,3,7,17,12,51,24,90,28,26,26,77,33,520
165389,165389,33,8,46,8,11,3,6,24,9,87,25,29,33,46,25,94,46,533
165390,165390,32,14,48,8,10,3,8,60,9,38,24,44,32,66,25,74,45,540
165391,165391,33,6,52,42,18,3,8,18,9,38,25,61,33,45,25,87,36,539
165393,165393,33,94,45,6,7,3,6,11,9,41,25,44,30,45,26,75,39,539
165396,165396,33,14,38,7,9,3,7,11,10,51,24,40,32,52,25,66,36,458
165398,165398,33,8,41,8,11,4,7,17,9,45,43,35,30,48,25,82,45,491
165399,165399,33,9,62,7,8,2,7,25,10,41,25,46,30,54,24,79,39,501
165400,165400,33,29,46,21,9,4,6,17,12,39,24,36,44,62,25,72,49,528
165402,165402,33,25,45,10,9,2,7,17,9,42,25,70,32,49,25,78,30,508
165404,165404,32,15,46,6,7,3,7,16,9,76,25,45,32,49,25,71,35,499
165405,165405,33,12,44,32,7,3,6,25,9,54,25,43,34,56,25,60,40,508
165406,165406,33,32,46,11,9,3,6,31,9,51,25,55,31,41,25,62,53,523
165407,165407,32,11,46,21,15,3,10,18,10,60,24,36,33,37,25,78,47,506
165408,165408,33,27,40,24,11,3,9,27,10,44,24,38,29,48,25,80,37,509
165409,165409,33,18,55,13,12,2,6,18,9,46,25,39,34,42,26,74,35,487
165410,165410,32,13,69,6,11,3,9,17,9,27,25,38,34,38,25,75,35,466
165413,165413,32,67,46,11,9,3,6,18,9,85,24,36,30,40,26,51,36,529
165416,165416,33,41,42,7,8,3,6,43,10,40,24,22,45,28,25,91,30,498
165418,165418,33,10,42,33,11,3,6,15,9,29,25,37,32,55,24,87,36,487
165420,165420,32,37,41,7,7,3,8,17,10,32,24,73,43,29,25,86,32,506
165423,165423,32,5,42,7,10,3,10,18,10,39,26,61,31,69,25,66,33,487
165425,165425,33,24,44,12,10,3,7,26,11,45,25,57,34,50,25,214,34,654
165424,165424,33,10,45,18,9,4,9,19,11,51,25,71,36,25,25,75,32,498
165428,165428,32,13,41,14,9,3,7,22,10,65,25,172,39,10,25,-32768,0,-32281
165430,165430,33,14,81,6,9,3,7,16,9,47,24,110,85,-32768,0,32767,47,490
165432,165432,34,16,44,21,9,3,8,16,9,146,26,50,36,27,25,82,45,597
165433,165433,33,22,46,8,8,3,6,124,11,41,25,77,27,36,24,78,50,619
165434,165434,35,7,43,30,97,3,6,18,11,46,24,61,32,62,25,86,32,618
165435,165435,33,32,43,99,11,3,6,22,9,43,24,44,44,66,25,87,27,618
165437,165437,33,154,54,7,8,4,7,17,10,41,24,41,37,46,25,49,93,650
165439,165439,33,1,68,10,14,3,5,18,9,45,25,15,32,34,25,118,33,488
165440,165440,32,16,48,8,9,6,6,20,10,18,24,25,39,15,26,147,44,493
165441,165441,35,34,45,35,9,3,6,18,9,73,24,77,38,18,32,-32768,32767,455
165442,165442,35,42,46,33,8,3,9,18,9,82,24,24,39,851,33,146,27,1429
165443,165443,35,54,33,23,7,4,9,29,11,30,25,825,41,102,32,124,25,1409
165444,165444,35,41,31,7,13,3,6,13,9,54,24,869,41,87,32,60,31,1356
165445,165445,35,1,87,586,51,4,7,19,17,207,76,32,33,69,33,202,23,1482
165446,165446,35,420,107,21,11,54,8,156,9,55,24,50,34,53,34,166,25,1262
165448,165448,35,148,94,89,16,40,14,9,10,17,24,49,38,151,32,113,37,916
165450,165450,35,203,42,4,14,3,8,10,7,12,25,147,29,48,33,107,30,757
165451,165451,35,4,59,10,8,4,12,8,10,50,25,43,31,90,32,52,37,510
165452,165452,36,27,57,7,11,3,10,8,8,48,25,61,51,55,33,83,24,547
165454,165454,35,5,33,19,10,3,7,48,9,67,25,73,38,39,32,-32768,32767,442
165453,165453,35,1,33,8,8,3,8,22,7,71,25,58,33,82,32,52,60,538
165455,165455,36,16,41,19,29,3,6,47,7,83,24,46,29,102,32,78,23,621
165457,165457,35,20,37,9,59,3,7,60,9,127,24,23,32,43,32,95,31,646
165458,165458,36,11,39,34,74,4,8,36,9,97,24,43,32,62,32,76,118,735
165459,165459,36,195,70,3,8,4,8,7,8,17,25,46,36,47,32,168,28,738
165463,165463,35,25,42,4,12,3,11,9,7,19,24,51,30,57,32,138,21,520
165464,165464,36,2,44,6,9,3,7,9,19,27,24,51,33,112,32,47,24,485
165466,165466,36,8,43,10,12,7,9,11,9,28,25,106,35,43,32,62,23,499
165467,165467,36,2,87,5,16,3,13,8,7,60,25,46,29,48,32,67,25,509
165468,165468,35,41,48,7,17,5,9,13,9,54,25,34,39,43,33,87,30,529
165471,165471,36,9,49,6,8,2,7,25,10,40,24,50,30,45,32,108,29,510
165472,165472,36,1,50,6,6,4,8,16,7,59,24,40,33,80,32,123,21,546
165473,165473,35,1,67,3,19,4,8,9,11,36,25,68,30,79,32,78,22,527
165474,165474,35,33,51,41,9,2,9,9,8,14,25,80,38,82,32,40,29,537
165478,165478,35,41,39,5,7,3,7,9,9,48,25,72,40,47,33,95,21,536
165479,165479,36,1,46,3,7,3,7,13,9,79,25,54,31,82,32,84,26,538
165480,165480,35,2,45,3,11,4,9,41,12,60,24,75,34,53,32,67,23,530
165481,165481,36,23,86,5,12,4,11,9,9,63,24,53,35,58,33,28,41,530
165483,165483,36,16,49,7,18,5,12,20,7,55,24,59,32,22,32,66,24,484
165485,165485,36,10,53,10,12,3,7,25,8,76,26,44,31,98,32,97,21,589
165487,165487,36,1,62,4,7,3,8,65,9,38,24,97,27,52,34,78,23,568
165489,165489,36,34,72,5,9,76,5,9,10,20,25,45,30,57,32,88,34,587
165491,165491,36,25,72,18,10,28,7,8,9,16,24,54,32,99,32,75,68,613
165493,165493,36,64,54,4,10,14,5,16,10,13,24,98,29,69,33,104,25,608
165495,165495,35,21,41,35,12,31,8,9,12,14,25,48,46,112,33,56,25,563
165498,165498,36,54,41,5,10,33,5,8,9,18,24,119,36,69,32,27,36,562
165499,165499,36,19,51,2,13,79,7,10,13,24,25,59,43,52,32,28,23,516
165501,165501,36,38,50,14,15,69,6,9,10,16,24,60,32,50,31,25,24,509
165504,165504,36,41,60,3,8,63,5,9,10,13,26,47,29,50,31,24,22,477
165506,165506,36,44,40,3,8,47,4,11,10,12,25,46,28,53,32,21,25,445
165508,165508,35,13,52,2,8,40,5,9,10,14,24,49,29,49,32,145,38,554
165509,165509,36,20,42,3,8,40,5,15,9,14,25,48,25,51,32,153,31,557
165510,165510,36,14,46,2,8,45,6,14,8,13,25,43,29,128,32,53,40,542
165512,165512,36,17,43,3,8,31,9,14,11,19,25,112,41,51,32,107,25,584
165514,165514,35,16,62,4,8,3,9,8,7,103,24,55,36,47,32,83,37,569
165516,165516,35,2,80,11,14,4,20,29,13,36,25,49,30,80,32,39,23,522
165517,165517,36,41,98,6,10,4,9,8,9,37,25,46,61,30,32,28,43,523
165519,165519,36,61,65,4,25,3,7,14,10,54,25,46,59,35,32,86,24,586
165521,165521,35,25,56,5,18,4,12,12,9,49,25,51,27,69,32,44,42,515
165522,165522,36,16,64,17,18,3,8,8,9,22,25,72,39,55,33,79,36,540
165524,165524,35,15,48,9,33,10,13,8,11,25,25,62,30,40,32,71,23,490
165526,165526,35,30,54,7,18,5,12,17,7,36,25,35,31,57,32,102,28,531
165528,165528,36,7,58,14,11,4,6,8,15,25,25,47,38,70,32,58,44,498
165529,165529,35,15,48,9,14,4,6,11,9,34,25,134,56,13,33,0,50,496
165530,165530,36,11,35,40,11,3,8,8,8,25,25,131,29,13,32,43,54,512
165534,165534,36,28,51,12,8,4,9,15,10,231,24,11,40,20,34,78,28,639
165536,165536,36,6,73,47,100,3,7,49,10,18,25,26,32,53,32,62,26,605
165538,165538,35,62,49,59,13,38,5,11,7,35,25,40,44,49,32,60,30,594
165539,165539,36,65,38,35,7,4,9,15,10,44,26,81,48,27,34,33,28,540
165542,165542,36,35,46,9,8,4,8,8,9,113,24,42,51,27,34,33,24,511
165545,165545,36,2,49,10,20,2,6,82,11,48,24,46,64,14,33,32,29,508
165547,165547,35,6,52,18,9,45,8,62,8,43,25,53,49,37,32,32,22,536
165548,165548,36,34,75,3,11,83,5,9,7,44,25,63,59,21,33,64,28,600
165551,165551,36,29,63,19,10,77,9,13,14,33,25,47,89,90,31,283,30,898
165553,165553,35,55,56,22,11,77,5,11,10,31,25,97,47,273,32,64,28,879
165554,165554,35,38,52,14,9,110,7,22,8,16,25,285,32,54,32,41,25,805
165555,165555,35,38,58,48,7,17,10,6,11,22,25,312,37,38,32,72,28,796
165561,165561,35,43,53,4,7,3,11,8,10,26,25,45,32,62,31,89,28,512
165564,165564,36,11,43,3,12,3,20,8,18,18,25,49,31,60,32,81,34,484
165568,165568,36,2,80,3,7,4,7,18,8,13,25,53,33,77,32,56,31,485
165569,165569,35,34,43,16,17,3,13,8,7,13,24,78,31,46,32,71,38,509
165570,165570,36,37,46,12,9,3,8,8,6,24,24,52,32,60,31,61,26,475
165571,165571,35,8,43,6,24,18,8,6,9,14,25,46,42,57,31,54,27,453
165572,165572,35,9,43,17,6,3,8,8,7,35,25,71,31,39,32,39,27,435
165574,165574,36,8,42,14,9,3,6,9,7,66,25,37,30,40,32,53,25,442
165576,165576,36,7,42,4,5,4,7,39,7,46,24,34,34,50,32,23,43,437
165577,165577,36,1,46,14,7,3,11,21,9,43,25,33,46,41,33,60,26,455
165578,165578,35,14,52,8,7,3,11,13,8,42,26,47,36,41,32,42,30,447
165581,165581,35,16,34,6,7,3,7,12,10,56,25,43,30,45,31,50,23,433
165582,165582,35,1,34,8,9,3,10,27,8,52,25,35,34,43,32,48,30,434
165583,165583,36,4,32,9,26,3,6,28,10,43,24,38,37,36,32,45,30,439
165587,165587,36,5,37,10,36,2,6,27,11,42,24,41,30,37,32,65,27,468
165589,165589,35,3,43,5,42,3,10,22,7,51,24,32,32,63,32,31,44,479
165590,165590,36,10,37,7,44,3,10,28,7,42,24,54,38,42,32,84,25,523
165592,165592,36,2,42,64,7,3,7,33,7,55,24,41,30,46,32,38,26,493
165591,165591,36,1,40,9,51,2,7,32,9,54,24,45,32,43,32,62,24,503
165593,165593,36,84,38,8,9,3,5,22,7,52,25,33,37,35,32,26,98,550
165596,165596,35,3,45,9,6,3,8,28,9,42,25,37,31,36,31,84,24,456
165597,165597,36,10,50,3,9,2,8,24,10,39,25,31,30,42,32,61,36,448
165599,165599,35,44,52,3,7,4,6,10,7,13,26,62,34,53,33,54,43,486
165598,165598,36,3,40,30,7,3,9,10,7,32,25,38,30,70,32,58,26,456
165601,165601,36,3,44,3,16,4,14,7,8,18,26,59,32,42,32,82,32,458
165604,165604,36,13,42,5,9,2,11,7,7,31,25,52,31,47,32,147,28,525
165606,165606,36,4,43,3,16,3,9,7,8,42,25,39,36,84,32,86,33,506
165607,165607,36,12,49,7,11,2,6,7,9,33,25,86,31,65,31,50,24,484
165608,165608,36,8,44,6,53,4,9,7,11,36,25,33,40,59,33,103,29,536
165610,165610,35,20,56,14,26,3,7,8,8,32,25,64,31,45,32,84,27,517
165613,165613,36,12,59,4,12,4,7,8,9,64,24,39,34,61,34,45,28,480
165615,165615,35,2,40,6,11,3,7,35,8,48,25,48,38,51,32,48,26,463
165616,165616,35,2,45,22,7,3,5,29,7,56,25,53,33,38,31,80,27,498
165617,165617,36,34,48,8,26,5,14,17,10,34,25,35,32,72,32,44,28,500
165619,165619,35,5,82,8,14,13,6,7,9,17,25,66,35,41,33,65,26,487
165622,165622,36,34,53,3,16,4,15,9,9,2,63,41,32,25,32,65,27,466
165624,165624,36,12,63,3,15,3,7,7,8,36,26,57,58,37,33,58,24,483
165625,165625,36,12,61,3,8,4,9,9,7,46,24,62,30,46,33,40,31,461
165626,165626,36,29,52,0,10,5,12,7,8,25,24,69,32,43,32,62,67,513
165628,165628,36,12,44,3,7,3,7,8,10,37,25,62,29,68,32,57,59,499
165629,165629,35,2,64,3,14,5,8,7,8,38,25,60,33,77,32,35,33,479
165630,165630,35,17,48,3,12,3,6,14,8,11,24,104,42,45,32,18,37,459
165631,165631,35,4,64,3,11,4,7,9,7,63,25,50,32,49,33,-32768,32767,395
165632,165632,36,23,34,7,10,3,23,20,9,58,25,89,27,13,32,45,24,478
165635,165635,35,131,43,8,6,3,6,7,8,65,24,30,46,196,33,65,37,743
165636,165636,0,0,0,0,0,0,0,0,0,0,32767,-32768,0,0,0,0,0,-1
165637,165637,35,4,68,6,7,3,7,7,15,21,24,239,81,7,32,54,50,660
165638,165638,36,144,136,4,7,3,5,9,13,45,24,52,35,24,33,86,66,722
165639,165639,35,97,77,11,9,6,5,7,9,36,24,87,37,18,32,92,31,613
165643,165643,35,53,98,2,10,8,5,7,7,26,24,44,44,23,33,95,32,546
165644,165644,35,63,50,3,8,17,6,8,7,29,25,32,65,17,32,71,31,499
165645,165645,36,21,47,3,9,16,5,9,8,38,25,43,46,30,32,54,35,457
165646,165646,35,18,83,3,8,5,5,7,7,31,25,41,44,26,34,35,25,432
165647,165647,36,47,55,4,10,5,7,6,10,30,25,38,44,21,31,168,27,564
165648,165648,36,23,47,3,8,10,5,15,8,33,26,27,39,125,32,118,23,578
165649,165649,35,15,44,3,8,21,8,6,8,39,25,99,30,61,33,-32768,32767,434
165650,165650,35,18,50,3,8,68,11,18,8,21,25,49,28,443,32,56,25,898
165652,165652,36,56,46,18,40,3,6,7,8,20,25,439,28,40,32,39,24,867
165654,165654,36,13,57,77,55,3,8,41,7,284,24,35,39,33,32,70,25,839
165656,165656,36,52,167,5,9,3,19,233,9,27,25,38,31,34,33,55,23,799
165663,165663,35,9,46,3,17,51,10,15,10,46,24,29,32,40,32,52,24,475
165664,165664,35,9,64,15,22,3,9,29,11,36,25,38,29,89,32,50,19,515
165665,165665,35,30,40,5,13,19,6,28,7,48,25,29,39,80,32,32,33,501
165666,165666,36,1,37,10,7,25,8,31,19,95,24,13,35,44,32,47,21,485
165670,165670,36,10,38,39,9,50,6,15,11,49,25,33,32,41,32,21,40,487
165669,165669,36,2,41,16,8,43,7,70,7,22,25,43,32,37,32,27,38,486
165671,165671,35,43,43,8,6,25,5,46,9,38,25,36,33,37,32,34,22,477
165676,165676,36,19,38,3,10,30,5,31,7,45,25,35,32,36,32,38,27,449
165677,165677,36,9,41,4,7,23,5,38,8,45,25,32,30,41,32,22,39,437
165678,165678,35,7,36,3,6,30,8,32,9,41,25,31,35,40,32,15,60,445
165679,165679,35,2,41,7,6,28,7,31,9,41,25,39,31,32,31,42,34,441
165680,165680,35,7,38,9,7,27,7,33,11,46,25,30,29,51,31,18,40,444
165681,165681,35,5,35,11,8,30,5,41,7,41,25,38,36,38,32,18,30,435
165682,165682,36,2,37,13,8,34,6,33,8,40,25,46,32,27,32,21,29,429
165683,165683,36,5,38,21,6,26,5,34,9,56,26,19,33,2252,33,92,28,2719
165686,165686,36,15,34,14,9,26,5,49,7,31,26,2251,30,30,32,99,40,2734
165687,165687,35,5,32,15,17,35,6,25,8,2262,25,25,29,90,32,55,26,2722
165688,165688,36,5,35,17,11,29,5,2263,15,20,25,79,28,56,32,32,36,2724
165689,165689,35,15,32,2213,49,25,8,13,7,88,25,40,38,37,32,29,62,2748
165690,165690,35,2226,45,39,10,19,8,48,9,47,25,39,32,41,33,120,30,2806
165695,165695,36,50,89,8,10,4,7,25,15,45,25,31,32,49,32,103,34,595
165696,165696,35,52,46,14,9,3,11,21,8,38,24,42,26,100,33,57,132,651
165698,165698,35,15,53,4,7,4,7,13,9,46,25,62,35,67,32,156,27,597
165700,165700,35,15,52,3,12,3,8,9,9,55,25,63,35,121,34,56,49,584
165701,165701,36,8,111,5,14,3,7,9,7,31,24,54,30,119,32,135,25,650
165702,165702,35,6,47,6,10,4,9,22,10,29,24,79,35,94,32,93,25,560
165703,165703,36,7,89,8,13,2,20,12,9,20,25,95,31,94,32,29,30,552
165705,165705,36,20,64,9,53,5,9,6,7,22,25,42,50,53,33,32,39,505
165707,165707,36,29,49,21,16,4,13,10,12,20,25,69,31,42,32,72,32,513
